# LAMMPS data file written by OVITO Pro 3.12.1

15040 atoms
4 atom types

-30.0675 33.2325 xlo xhi
-30.0675 33.2325 ylo yhi
-30.0675 33.2325 zlo zhi

Masses

1 183.84  # W
2 1.0  # Type 2
3 1.0  # Type 3
4 1.0  # Type 4

Atoms  # atomic

348 4 -30.0675 -1.5825 -7.9125
349 1 -28.485 0.0 -6.33
350 4 -28.485 0.0 -3.165
351 3 -28.485 0.0 0.0
352 2 -30.0675 -1.5825 1.5825
353 1 -28.485 0.0 3.165
354 1 -30.0675 -1.5825 4.7475
355 4 -28.485 0.0 6.33
356 2 -30.0675 -1.5825 7.9125
357 1 -28.485 0.0 9.495
358 1 -30.0675 -1.5825 11.0775
359 2 -28.485 0.0 12.66
360 2 -30.0675 -1.5825 14.2425
361 2 -28.485 0.0 15.825
362 2 -30.0675 -1.5825 17.4075
363 3 -28.485 0.0 18.99
364 4 -30.0675 -1.5825 20.5725
365 3 -28.485 0.0 22.155
366 1 -30.0675 -1.5825 23.7375
367 4 -28.485 0.0 25.32
368 1 -30.0675 -1.5825 26.9025
369 3 -28.485 0.0 28.485
370 1 -28.485 0.0 31.65
371 4 -30.0675 1.5825 -30.0675
372 3 -28.485 3.165 -28.485
373 3 -30.0675 1.5825 -26.9025
374 1 -28.485 3.165 -25.32
375 1 -30.0675 1.5825 -23.7375
376 2 -28.485 3.165 -22.155
377 3 -28.485 3.165 -18.99
378 3 -30.0675 1.5825 -17.4075
379 3 -28.485 3.165 -15.825
380 1 -30.0675 1.5825 -14.2425
381 3 -28.485 3.165 -12.66
382 2 -30.0675 1.5825 -11.0775
383 3 -28.485 3.165 -9.495
384 1 -30.0675 1.5825 -7.9125
385 1 -28.485 3.165 -6.33
386 3 -28.485 3.165 -3.165
387 3 -30.0675 1.5825 -1.5825
388 3 -28.485 3.165 0.0
389 2 -30.0675 1.5825 1.5825
390 2 -28.485 3.165 3.165
391 4 -30.0675 1.5825 4.7475
392 3 -28.485 3.165 6.33
393 3 -30.0675 1.5825 7.9125
394 4 -28.485 3.165 9.495
395 4 -30.0675 1.5825 11.0775
396 2 -28.485 3.165 12.66
397 4 -30.0675 1.5825 14.2425
398 1 -28.485 3.165 15.825
399 2 -30.0675 1.5825 17.4075
400 1 -28.485 3.165 18.99
401 4 -30.0675 1.5825 20.5725
402 3 -28.485 3.165 22.155
403 4 -30.0675 1.5825 23.7375
404 2 -28.485 3.165 25.32
405 2 -30.0675 1.5825 26.9025
406 2 -30.0675 1.5825 30.0675
407 4 -28.485 3.165 31.65
408 4 -30.0675 4.7475 -30.0675
409 2 -28.485 6.33 -28.485
410 1 -30.0675 4.7475 -26.9025
411 2 -28.485 6.33 -25.32
412 1 -30.0675 4.7475 -23.7375
413 3 -28.485 6.33 -22.155
414 1 -30.0675 4.7475 -20.5725
415 4 -28.485 6.33 -18.99
416 3 -30.0675 4.7475 -17.4075
417 2 -28.485 6.33 -15.825
418 1 -30.0675 4.7475 -14.2425
419 2 -28.485 6.33 -12.66
420 2 -30.0675 4.7475 -11.0775
421 1 -28.485 6.33 -9.495
422 3 -28.485 6.33 -6.33
423 3 -30.0675 4.7475 -4.7475
424 3 -28.485 6.33 -3.165
425 4 -30.0675 4.7475 -1.5825
426 1 -28.485 6.33 0.0
427 2 -30.0675 4.7475 1.5825
428 4 -28.485 6.33 3.165
